case_id,evidence_role,order,dominant_axis,bin_index,phase_start,phase_end,sample_count,false_safe_count,non_false_safe_count,false_safe_rate,event_phase_resultant_R,total_false_safe_events,valid
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,2,0.261799387799149,0.523598775598299,13,2,11,0.153846153846154,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,3,0.523598775598299,0.785398163397448,15,2,13,0.133333333333333,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,4,0.785398163397448,1.0471975511966,14,0,14,0,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,5,1.0471975511966,1.30899693899575,13,0,13,0,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,6,1.30899693899575,1.5707963267949,15,0,15,0,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,7,1.5707963267949,1.83259571459405,13,0,13,0,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,8,1.83259571459405,2.0943951023932,14,0,14,0,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,9,2.0943951023932,2.35619449019234,14,0,14,0,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,10,2.35619449019234,2.61799387799149,15,0,15,0,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,11,2.61799387799149,2.87979326579064,13,1,12,0.0769230769230769,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,12,2.87979326579064,3.14159265358979,14,0,14,0,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,13,3.14159265358979,3.40339204138894,14,0,14,0,0.728286099797613,6,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,14,3.40339204138894,3.66519142918809,13,0,13,0,0.728286099797613,6,1
