transfer_type,case_id,evidence_role,held_out_id,model,donor_case_count,donor_cases,train_cycle_count,test_sample_count,rms_before,rms_after,rms_relative_reduction,transfer_pass,valid
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,4,12,0,,3,125,0.0354890138804339,0.0309521908793126,0.127837392619765,1,1
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,4,6+12,0,,3,125,0.0354890138804339,0.0276230905350013,0.221643897233485,1,1
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,1,6,0,,3,126,0.0765335977489973,0.0753188669521409,0.0158718632415574,1,1
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,1,12,0,,3,126,0.0765335977489973,0.0746063793845157,0.0251813376237999,1,1
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,1,6+12,0,,3,126,0.0765335977489973,0.0733966766107366,0.0409875039266899,1,1
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,2,6,0,,3,125,0.0767808573546439,0.0755179656109807,0.0164480026294836,1,1
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,2,12,0,,3,125,0.0767808573546439,0.0747797795791077,0.0260621962879811,1,1
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,2,6+12,0,,3,125,0.0767808573546439,0.0734828209807424,0.0429538883457393,1,1
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,3,6,0,,3,125,0.0767808573547607,0.0755179656110999,0.0164480026294274,1,1
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,3,12,0,,3,125,0.0767808573547607,0.0747797795792107,0.0260621962881202,1,1
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,3,6+12,0,,3,125,0.0767808573547607,0.0734828209808478,0.0429538883458213,1,1
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,4,6,0,,3,125,0.0767808573547432,0.0755179656110822,0.0164480026294338,1,1
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,4,12,0,,3,125,0.0767808573547432,0.0747797795791917,0.0260621962881459,1,1
