case_id,window_id,evidence_role,order,frequency_hz,frequency_resolution_hz,order_resolution,sample_rate_hz,nyquist_frequency_hz,nyquist_order,fft_bin_frequency_hz,fft_amplitude_d,fft_amplitude_q,fft_phase_d,fft_phase_q,amplitude_d,amplitude_q,complex_amplitude,phase_d,phase_q,local_noise_floor_d,local_noise_floor_q,local_noise_floor,peak_snr_db,energy_share,leakage_fraction,aliasing_flag,validity
P05_cross_mismatch,P05_cross_mismatch__steady,ENGINEERING_PRIMARY,6,479.999999999998,20,0.250000000000001,10000,5000,62.5000000000003,480,0.0153173534063958,0.0124653496289576,0.296265387172487,-2.39013706970612,0.0153175407955986,0.0124645670635208,0.0197482274674421,0.532986053642492,-2.15359132742537,0.000723863371306962,0.000499730969589834,0.00087960742509774,27.0247846838872,0.154828635057176,1.76522902896494e-05,0,VALID
P05_cross_mismatch,P05_cross_mismatch__steady,ENGINEERING_PRIMARY,12,959.999999999996,20,0.250000000000001,10000,5000,62.5000000000003,960,0.0172007207784259,0.0175213940083534,1.19795973734333,-1.87782981957463,0.0172031543120049,0.0175209250182674,0.0245546600827297,1.6713469548026,-1.40457431085624,0.0014478963364318,0.00125067789043171,0.00191326918823969,22.1671569773593,0.239366239041819,5.58026752060967e-05,0,VALID
P06_controller_high_L,P06_controller_high_L__steady,ENGINEERING_PRIMARY,6,479.999999999998,20,0.250000000000001,10000,5000,62.5000000000003,480,0.0147963201948918,0.012876211956902,-0.181664953081757,0.947010987259272,0.0147880081023036,0.0128894091612041,0.0196168818153837,0.0566055415063383,1.18464928100023,0.000800676612602445,0.000690108985862236,0.00105703994737017,25.3707715053005,0.0326406705021418,0.000122306200814492,0,VALID
P06_controller_high_L,P06_controller_high_L__steady,ENGINEERING_PRIMARY,12,959.999999999996,20,0.250000000000001,10000,5000,62.5000000000003,960,0.0196359350274033,0.0148682494401191,0.19415035656471,0.99296732843206,0.0196343429266618,0.0148726808856819,0.0246313633177111,0.668179857944946,1.4666013206392,0.00215835760766982,0.00167582791102348,0.00273256413464561,19.0983617271201,0.05146073923628,5.70913046999677e-05,0,VALID
P07_controller_low_L,P07_controller_low_L__steady,ENGINEERING_PRIMARY,6,479.999999999998,20,0.250000000000001,10000,5000,62.5000000000003,480,0.0284092266001471,0.0216073347703917,-0.751744129044283,-2.31933728650449,0.0283932850282847,0.0215899633200957,0.0356693867463473,-0.514663252882686,-2.08371260838092,0.0027321872469296,0.00201495677078227,0.0033948340077839,20.4295419724979,0.201123222757429,0.000650544638028427,0,VALID
P07_controller_low_L,P07_controller_low_L__steady,ENGINEERING_PRIMARY,12,959.999999999996,20,0.250000000000001,10000,5000,62.5000000000003,960,0.0278380989529894,0.0248426311338293,-1.05866658284316,-1.80815251813774,0.0278235969621593,0.0248293149421176,0.0372913854449998,-0.585280970007797,-1.33519901310457,0.0028065924946136,0.00266031135727362,0.0038670683920071,19.6845333110347,0.219830511832395,0.000527904837662048,0,VALID
P08_opposed_20pct,P08_opposed_20pct__steady,ENGINEERING_PRIMARY,6,479.999999999998,20,0.250000000000001,10000,5000,62.5000000000003,480,0.0221384974926518,0.0218924797466799,-2.05468924434814,1.36045215575057,0.0221540941952401,0.0219206224191815,0.0311659682483297,-1.81753390960505,1.59757398340638,0.00158858756532003,0.00139968123548253,0.00211724302186861,23.3581982741555,0.0892414342870971,0.000990813800204973,0,VALID
P08_opposed_20pct,P08_opposed_20pct__steady,ENGINEERING_PRIMARY,12,959.999999999996,20,0.250000000000001,10000,5000,62.5000000000003,960,0.0188651665131435,0.0258539336189109,2.58056350672947,0.334452516014153,0.0188679799249027,0.0258540793425815,0.0320067818610217,3.05370994626782,0.807897040927563,0.00256409579454938,0.00276733321400749,0.00377262777927731,18.5719610334922,0.094121602723134,5.54926450015591e-05,0,VALID
B01_500rpm_20A_48V_fast,B01_500rpm_20A_48V_fast__steady,SECONDARY_STRESS,6,600,NaN,NaN,10000,5000,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:no_registered_steady_phase;early_termination;stress_test_secondary_only
B01_500rpm_20A_48V_fast,B01_500rpm_20A_48V_fast__steady,SECONDARY_STRESS,12,1200,NaN,NaN,10000,5000,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:no_registered_steady_phase;early_termination;stress_test_secondary_only
B02_500rpm_negid_48V,B02_500rpm_negid_48V__steady,SECONDARY_STRESS,6,600,NaN,NaN,10000,5000,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:no_registered_steady_phase;early_termination;stress_test_secondary_only
B02_500rpm_negid_48V,B02_500rpm_negid_48V__steady,SECONDARY_STRESS,12,1200,NaN,NaN,10000,5000,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:no_registered_steady_phase;early_termination;stress_test_secondary_only
