case_id,window_id,cycle_id,split,evidence_role,axis,order,c0_real,c0_imag,c_cos_real,c_cos_imag,c_sin_real,c_sin_imag,amplitude,phase,complex_coefficient_real,complex_coefficient_imag,residual_vector_rms,interpolation_rmse,extrapolated_grid_fraction,angle_points,valid
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,dq_positive,12,7.0185868659789e-06,-1.42900636854927e-05,0.00238437809443229,-0.00169752961039274,0.00359839411524041,-0.00643718871522021,0.00666873916386714,-2.22399871111456,-0.00405281062078792,-0.00529592372563315,0.00756476423636455,0.0011586418440795,0.01171875,256,1
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,dq_negative,12,7.0185868659789e-06,-1.42900636854927e-05,0.00238437809443229,-0.00169752961039274,0.00359839411524041,-0.00643718871522021,0.0090240416024613,0.212234180035722,0.0088215668096525,0.00190086450484767,0.00756476423636455,0.0011586418440795,0.01171875,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,d,6,-5.63277646314252e-06,0,0.00781204277992767,0,0.00220097355645768,0,0.00811617502224084,-0.274622497263114,0.00781204277992767,-0.00220097355645768,0.00726444658714731,0.00110664694995744,0.00390625,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,q,6,-1.12059239861871e-06,0,-0.00721837631040279,0,-0.00208857193700769,0,0.00751445868274224,2.85994325239319,-0.00721837631040279,0.00208857193700769,0.00726444658714731,0.00110664694995744,0.00390625,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,dq_positive,6,-5.63277646314252e-06,-1.12059239861871e-06,0.00781204277992767,-0.00721837631040279,0.00220097355645768,-0.00208857193700769,0.0110218995823805,-1.02478608842296,0.00572347084291998,-0.00941934986686047,0.00726444658714731,0.00110664694995744,0.00390625,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,dq_negative,6,-5.63277646314252e-06,-1.12059239861871e-06,0.00781204277992767,-0.00721837631040279,0.00220097355645768,-0.00208857193700769,0.0110993919729187,-0.469054413143488,0.00990061471693536,-0.00501740275394512,0.00726444658714731,0.00110664694995744,0.00390625,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,d,12,-5.63277646314252e-06,0,0.0019336745895019,0,0.00180078685982686,0,0.0026423343339953,-0.749828996306962,0.0019336745895019,-0.00180078685982686,0.00726444658714731,0.00110664694995744,0.00390625,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,q,12,-1.12059239861871e-06,0,0.000365993094941452,0,-0.0037400275312276,0,0.00375789261154244,1.4732485208978,0.000365993094941452,0.0037400275312276,0.00726444658714731,0.00110664694995744,0.00390625,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,dq_positive,12,-5.63277646314252e-06,-1.12059239861871e-06,0.0019336745895019,0.000365993094941452,0.00180078685982686,-0.0037400275312276,0.00230684722030635,-2.4703344101854,-0.0018063529417257,-0.0014347937648854,0.00726444658714731,0.00110664694995744,0.00390625,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,dq_negative,12,-5.63277646314252e-06,-1.12059239861871e-06,0.0019336745895019,0.000365993094941452,0.00180078685982686,-0.0037400275312276,0.00607337065616419,0.364805161223209,0.0056737021207295,0.00216677995476831,0.00726444658714731,0.00110664694995744,0.00390625,256,1
