case_id,evidence_role,axis,order,cycle_count,calibration_cycle_count,validation_cycle_count,mean_speed,frequency_hz,amplitude_mean,amplitude_std,amplitude_cv,circular_mean_phase,phase_resultant_R,peak_snr_db,calibration_amplitude,validation_amplitude,validation_to_calibration_amplitude_ratio,validation_phase_shift,held_out_repeatable,snr_pass,cv_pass,phase_pass,stable_periodic_component
D04_torque_ramp,SECONDARY_DYNAMIC,dq_positive,12,4,2,2,400,959.999999999996,0.0127773139310629,5.57151548085335e-15,4.36047475307659e-13,-0.454044482091428,1,19.7856248566057,0.0127773139310628,0.0127773139310629,1.00000000000001,3.88828457083249e-13,1,1,1,1,0
D04_torque_ramp,SECONDARY_DYNAMIC,dq_negative,12,4,2,2,400,959.999999999996,0.0138981566901076,1.03579032833446e-14,7.45271730222835e-13,-0.900222685963984,1,19.7856248566057,0.0138981566901109,0.0138981566901043,0.999999999999529,2.34343194406044e-13,1,1,1,1,0
P01_Ld_minus10,ENGINEERING_PRIMARY,d,6,3,1,2,300,359.999999999999,0.00946095523850835,0.000203424393170429,0.0215014644972046,0.635234788446364,0.999834133953776,33.6710505257534,0.00925315895103375,0.00956485338224565,1.03368519149637,0.0335767759405979,1,1,1,1,1
P01_Ld_minus10,ENGINEERING_PRIMARY,q,6,3,1,2,300,359.999999999999,0.00659194728610431,7.11575493364429e-05,0.0107946174700823,-2.86292452604832,0.999981370160789,36.4298717131026,0.00662298720720592,0.00657642732555351,0.992969957483572,0.00478942991963049,1,1,1,1,1
P01_Ld_minus10,ENGINEERING_PRIMARY,dq_positive,6,3,1,2,300,359.999999999999,0.00945705913903767,0.000121285537191679,0.01282486821839,-0.0765621792131524,0.999656871941077,34.3914597820221,0.0094295715644523,0.00947080292633036,1.00437255941018,0.0526394527632496,1,1,1,1,1
P01_Ld_minus10,ENGINEERING_PRIMARY,dq_negative,6,3,1,2,300,359.999999999999,0.0132854827033834,0.00024182926078433,0.0182025197114399,-1.11896907870613,0.999960155363588,34.3914597820221,0.0130404371226846,0.0134080054937328,1.02818681364667,0.00949789520047834,1,1,1,1,1
P01_Ld_minus10,ENGINEERING_PRIMARY,d,12,3,1,2,300,719.999999999998,0.00813220285026857,0.000319886676103607,0.0393357964617229,1.19959291388861,0.999502913308391,24.4631237667788,0.00820631520987237,0.00809514667046667,0.986453294010451,0.0668067414363759,1,1,1,1,1
P01_Ld_minus10,ENGINEERING_PRIMARY,q,12,3,1,2,300,719.999999999998,0.00357232857848867,0.000144905560684759,0.0405633349511382,-2.81828917770646,0.999895771139313,22.1074464094585,0.00355538378997246,0.00358080097274677,1.00714892801334,0.0291565515664211,1,1,1,1,1
P01_Ld_minus10,ENGINEERING_PRIMARY,dq_positive,12,3,1,2,300,719.999999999998,0.00585312614495112,0.000278196197238873,0.0475295065148807,0.798372144748014,0.999509227389127,23.9857961258222,0.00600885689397324,0.00577526077044006,0.961124698481758,0.0658981920127602,1,1,1,1,1
P01_Ld_minus10,ENGINEERING_PRIMARY,dq_negative,12,3,1,2,300,719.999999999998,0.0111140771804184,0.000423468110098402,0.0381019587343246,-1.40672244572385,0.999609379679457,23.9857961258222,0.0111293470277152,0.0111064422567701,0.997941948356171,0.0593080354833937,1,1,1,1,1
P02_Ld_plus10,ENGINEERING_PRIMARY,d,6,3,1,2,300,359.999999999999,0.0101461606797073,0.000117620138112683,0.0115925759334689,-0.578965874428248,0.998313645506043,21.2291792034944,0.0102817914744827,0.0100783452823196,0.980212962627377,0.12049086989109,1,1,1,1,1
P02_Ld_plus10,ENGINEERING_PRIMARY,q,6,3,1,2,300,359.999999999999,0.00778663952402638,2.75532843444815e-05,0.00353853344044801,-3.12754258880804,0.996886855172112,22.6670082655627,0.00781042286013325,0.00777474785597294,0.995432385057868,0.164476460565336,1,1,1,1,1
