case_id,condition_id,stage,range_class,Jd_limit_A2,Jq_limit_A2,single_vector_ratio,double_vector_ratio,three_vector_ratio,zero_vector_dwell_ratio,mode_change_L1_vs_default,average_switching_frequency_Hz,total_switching_actions
A_C11_023,C11,coarse_scan,reasonable_extension_range,0.36,0.64,0.408123791102515,0.591231463571889,0.000644745325596389,0.828915910190678,0.443584784010316,5200.94562647754,2420
A_C11_024,C11,coarse_scan,reasonable_extension_range,0.36,1,0.458413926499033,0.540296582849774,0.00128949065119278,0.838504606877328,0.544165054803352,4990.32882011605,2322
A_C11_025,C11,coarse_scan,reasonable_extension_range,0.64,0,0.000644745325596389,0.996776273372018,0.00257898130238556,0.828619834893315,0.393294648613798,9280.03438641736,4318
A_C11_026,C11,coarse_scan,reasonable_extension_range,0.64,0.0225,0.000644745325596389,0.999355254674404,0,0.820518914129226,0.39845261121857,8648.1839673329,4024
A_C11_027,C11,coarse_scan,reasonable_extension_range,0.64,0.04,0.000644745325596389,0.999355254674404,0,0.821495235779446,0.39845261121857,8695.46529120997,4046
A_C11_028,C11,coarse_scan,reasonable_extension_range,0.64,0.16,0.232753062540297,0.767246937459703,0,0.818534797556376,0.0928433268858803,6627.98194713088,3084
A_C11_029,C11,coarse_scan,reasonable_extension_range,0.64,0.64,0.435847840103159,0.563507414571244,0.000644745325596389,0.822825800835549,0.499032882011605,4706.64087685364,2190
A_C11_030,C11,coarse_scan,reasonable_extension_range,0.64,1,0.524177949709865,0.475177304964539,0.000644745325596389,0.834961802444981,0.675693101225016,4238.1259402536,1972
A_C11_031,C11,coarse_scan,reasonable_extension_range,1,0,0.000644745325596389,0.999355254674404,0,0.817111079208453,0.39845261121857,8652.48226950355,4026
A_C11_032,C11,coarse_scan,reasonable_extension_range,1,0.0225,0.000644745325596389,0.999355254674404,0,0.8182233849796,0.39845261121857,8794.32624113475,4092
A_C11_033,C11,coarse_scan,reasonable_extension_range,1,0.04,0.00128949065119278,0.998710509348807,0,0.819926459424298,0.397163120567376,9035.03116269074,4204
A_C11_034,C11,coarse_scan,reasonable_extension_range,1,0.16,0.283687943262411,0.716312056737589,0,0.829955235914023,0.194713088330108,6589.2972275951,3066
A_C11_035,C11,coarse_scan,reasonable_extension_range,1,0.64,0.528691166989039,0.470664087685364,0.000644745325596389,0.830236918626432,0.684719535783365,4203.73952288846,1956
A_C11_036,C11,coarse_scan,reasonable_extension_range,1,1,0.552546744036106,0.447453255963894,0,0.83342443771307,0.732430689877498,3954.43799699119,1840
A_C12_001,C12,coarse_scan,stress_test_range,0.01,0,0.002,0.096,0.902,0.453890276947657,0.652,12880,1932
A_C12_002,C12,coarse_scan,stress_test_range,0.01,0.0225,0.002,0.152,0.846,0.454519573975468,0.54,12733.3333333333,1910
A_C12_003,C12,coarse_scan,stress_test_range,0.01,0.04,0.002,0.16,0.838,0.454453577382913,0.524,12733.3333333333,1910
A_C12_004,C12,coarse_scan,stress_test_range,0.01,0.16,0.002,0.232,0.766,0.454373373795135,0.38,12480,1872
A_C12_005,C12,coarse_scan,stress_test_range,0.01,0.64,0.002,0.572,0.426,0.454472448620403,0.3,11106.6666666667,1666
A_C12_006,C12,coarse_scan,stress_test_range,0.01,1,0.006,0.594,0.4,0.438990894666231,0.352,10053.3333333333,1508
A_C12_007,C12,coarse_scan,stress_test_range,0.04,0,0.002,0.142,0.856,0.454195926088773,0.56,12786.6666666667,1918
A_C12_008,C12,coarse_scan,stress_test_range,0.04,0.0225,0.002,0.19,0.808,0.454297427940287,0.464,12666.6666666667,1900
A_C12_009,C12,coarse_scan,stress_test_range,0.04,0.04,0.002,0.218,0.78,0.454893134430669,0.408,12520,1878
