cohort_type,cohort,predictor,causality_class,ranking_valid,sample_count,candidate_bank_semantics,top1_flip_vs_P0_rate,top3_flip_vs_P0_rate,mode_flip_vs_P0_rate,feasibility_flip_vs_P0_rate,top1_agreement_with_P5_rate,top1_recovery_eligible_count,top1_recovered_count,top1_recovery_rate,top1_new_error_count,mode_recovery_eligible_count,mode_recovered_count,mode_recovery_rate,mode_new_error_count,top3_jaccard_vs_P5,S2_changed_command_rate,diagnostic_top1_voltage_changed_rate
category,core,P1,causal_original,1,9613,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.99791948403204,20,0,0,0,17,0,0,0,0.996255071257672,0,0.0237178820347446
category,core,P2a,causal_previous_period_oracle,1,9604,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.000104123281965848,0.00749687630154102,0.000104123281965848,0.00760099958350687,0.998021657642649,20,1,0.05,0,17,1,0.0588235294117647,0,0.993648479800083,0,0.0236359850062474
category,core,P2b,offline_physical_parameter_oracle,1,9613,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.000624154790388016,0.0111307604285863,0.000624154790388016,0.0157078955580984,0.997711432435244,20,2,0.1,4,17,2,0.117647058823529,4,0.992666181212941,0,0.0239259336315406
category,core,P2c,noncausal_future_endpoint_oracle,0,9613,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.000416103193592011,0.00873816706543223,0.000312077395194008,0.00967439925101425,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0237178820347446
category,core,P3a,causal_previous_period_oracle,1,9604,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.000104123281965848,0.00749687630154102,0.000104123281965848,0.00760099958350687,0.998021657642649,20,1,0.05,0,17,1,0.0588235294117647,0,0.993648479800083,0,0.0236359850062474
category,core,P3b,offline_physical_parameter_oracle,1,9613,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.000624154790388016,0.0111307604285863,0.000624154790388016,0.0157078955580984,0.997711432435244,20,2,0.1,4,17,2,0.117647058823529,4,0.992666181212941,0,0.0239259336315406
category,core,P3c,noncausal_future_endpoint_oracle,0,9613,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.000416103193592011,0.00873816706543223,0.000312077395194008,0.00967439925101425,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0237178820347446
category,core,P4,offline_physical_parameter_oracle,1,9613,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.000416103193592011,0.00873816706543223,0.000312077395194008,0.00967439925101425,0.998335587225632,20,4,0.2,0,17,3,0.176470588235294,0,0.995006761676896,0,0.0237178820347446
category,core,P5,offline_plant_replay_oracle,1,9613,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00208051596796005,0.00748985748465619,0.00176843857276605,0.0114428378237803,1,20,20,1,0,17,17,1,0,1,0,0.0253822948091127
category,dynamic,P0,causal_original,1,4502,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.992225677476677,35,0,0,0,21,0,0,0,0.989671257219014,NaN,0.0339848956019547
category,dynamic,P1,causal_original,1,4502,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.992225677476677,35,0,0,0,21,0,0,0,0.989671257219014,NaN,0.0339848956019547
category,dynamic,P2a,causal_previous_period_oracle,1,4497,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00689348454525239,0.012897487213698,0.00644874360684901,0.0195686012897487,0.993773626862353,35,19,0.542857142857143,12,21,17,0.80952380952381,12,0.990993995997332,NaN,0.0373582388258839
category,dynamic,P2b,offline_physical_parameter_oracle,1,4502,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00644158151932474,0.0242114615726344,0.00555308751665926,0.0288760550866282,0.993780541981342,35,18,0.514285714285714,11,21,14,0.666666666666667,11,0.988893824966681,NaN,0.0382052421146157
category,dynamic,P2c,noncausal_future_endpoint_oracle,0,4502,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00821856952465571,0.0206574855619725,0.00533096401599289,0.0242114615726344,NaN,0,0,NaN,0,0,0,NaN,0,NaN,NaN,0.0382052421146157
category,dynamic,P3a,causal_previous_period_oracle,1,4497,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00689348454525239,0.012897487213698,0.00644874360684901,0.0195686012897487,0.993773626862353,35,19,0.542857142857143,12,21,17,0.80952380952381,12,0.990993995997332,NaN,0.0373582388258839
category,dynamic,P3b,offline_physical_parameter_oracle,1,4502,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00644158151932474,0.0242114615726344,0.00555308751665926,0.0288760550866282,0.993780541981342,35,18,0.514285714285714,11,21,14,0.666666666666667,11,0.988893824966681,NaN,0.0382052421146157
category,dynamic,P3c,noncausal_future_endpoint_oracle,0,4502,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00821856952465571,0.0206574855619725,0.00533096401599289,0.0242114615726344,NaN,0,0,NaN,0,0,0,NaN,0,NaN,NaN,0.0382052421146157
category,dynamic,P4,offline_physical_parameter_oracle,1,4502,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00821856952465571,0.0213238560639716,0.00533096401599289,0.0242114615726344,0.998667258996002,35,33,0.942857142857143,4,21,20,0.952380952380952,4,0.992114615726344,NaN,0.0382052421146157
category,dynamic,P5,offline_plant_replay_oracle,1,4502,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00777432252332297,0.0206574855619725,0.00466459351399378,0.0322079075966237,1,35,35,1,0,21,21,1,0,1,NaN,0.0390937361172812
category,parameter,P0,causal_original,1,9584,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.977358096828047,217,0,0,0,188,0,0,0,0.932126460767947,NaN,0.0566569282136895
category,parameter,P1,causal_original,1,9584,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.237166110183639,0.416840567612688,0.145659432387312,0.444699499165275,0.761373121869783,217,83,0.382488479262673,2153,188,70,0.372340425531915,1289,0.79029632721202,NaN,0.238209515859766
category,parameter,P2a,causal_previous_period_oracle,1,9576,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0342522974101921,0.100668337510443,0.0161862990810359,0.0506474519632414,0.945802005012531,217,13,0.0599078341013825,315,188,3,0.0159574468085106,152,0.911601921470342,NaN,0.0817669172932331
category,parameter,P2b,offline_physical_parameter_oracle,1,9584,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.358409849749583,0.510225375626043,0.158597662771285,0.45690734557596,0.64169449081803,217,108,0.497695852534562,3325,188,96,0.51063829787234,1422,0.751429465776294,NaN,0.368113522537563
category,parameter,P2c,noncausal_future_endpoint_oracle,0,9584,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0359974958263773,0.092237061769616,0.0299457429048414,0.0471619365609349,NaN,0,0,NaN,0,0,0,NaN,0,NaN,NaN,0.0694908180300501
category,parameter,P3a,causal_previous_period_oracle,1,9576,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0216165413533835,0.120196324143693,0.0206766917293233,0.0452172096908939,0.995196324143693,217,189,0.870967741935484,18,188,180,0.957446808510638,18,0.983709273182957,NaN,0.0568086883876358
category,parameter,P3b,offline_physical_parameter_oracle,1,9584,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0218071786310518,0.124582637729549,0.0205550918196995,0.0463272120200334,0.995200333889816,217,190,0.875576036866359,19,188,178,0.946808510638298,19,0.983462020033389,NaN,0.0584307178631052
category,parameter,P3c,noncausal_future_endpoint_oracle,0,9584,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0229549248747913,0.118426544240401,0.0202420701168614,0.0452838063439065,NaN,0,0,NaN,0,0,0,NaN,0,NaN,NaN,0.0604131886477462
category,parameter,P4,offline_physical_parameter_oracle,1,9584,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0229549248747913,0.119365609348915,0.0202420701168614,0.0452838063439065,0.997391485809683,217,206,0.949308755760369,14,188,180,0.957446808510638,14,0.986227045075125,NaN,0.0604131886477462
category,parameter,P5,offline_plant_replay_oracle,1,9584,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0226419031719533,0.135747078464107,0.0196160267111853,0.0483096828046745,1,217,217,1,0,188,188,1,0,1,NaN,0.0588480801335559
phase,dynamic,P0,causal_original,1,12791,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.987334844812759,162,0,0,0,124,0,0,0,0.968493471972481,0,0.037604565710265
phase,dynamic,P1,causal_original,1,12791,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.088499726370104,0.153780001563599,0.0540223594715034,0.166523336721132,0.907122195293566,162,44,0.271604938271605,1070,124,36,0.290322580645161,637,0.916949417559221,0,0.105542959893675
phase,dynamic,P2a,causal_previous_period_oracle,1,12767,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0148037910237331,0.0452729693741678,0.0075977128534503,0.0281193702514295,0.976893553693115,162,28,0.172839506172839,161,124,15,0.120967741935484,82,0.960719041278296,0,0.047152815853372
phase,dynamic,P2b,offline_physical_parameter_oracle,1,12791,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.135720428426237,0.200844343679149,0.0605112970057071,0.185051989680244,0.86365413181143,162,76,0.469135802469136,1658,124,59,0.475806451612903,713,0.900336173872254,0,0.154718161207099
phase,dynamic,P2c,noncausal_future_endpoint_oracle,0,12791,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0166523336721132,0.0455789226800094,0.0127433351575326,0.0299429286216871,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0434680634821359
