cohort_type,cohort,predictor,causality_class,registered_sample_count,valid_sample_count,ed_mean_A,eq_mean_A,ed_rms_A,eq_rms_A,vector_rms_A,ed_peak_A,eq_peak_A,vector_peak_A,false_safe_d_count,false_safe_q_count,false_safe_joint_count,false_safe_joint_rate,false_alarm_joint_rate,maximum_consecutive_false_safe,predicted_joint_pass_rate,actual_joint_pass_rate,steady_vector_rms_A,dynamic_vector_rms_A,S2_near_vector_rms_A,top1_flip_vs_P0_rate,mode_flip_vs_P0_rate,diagnostic_top1_voltage_changed_rate
range,reasonable_extension,P2c,noncausal_future_endpoint_oracle,14376,14376,0.000832937570695653,-5.84140366356991e-05,0.040047615815367,0.0421071888745816,0.0581104714093332,0.207457327856549,0.213829380998437,0.288581654686544,186,172,297,0.0206594323873122,0.0195464663327768,1,0.962437395659432,0.961324429604897,0.0580697679909593,0.0581510108011578,NaN,0.0249026154702282,0.0207289927657206,0.0667084028937117
range,reasonable_extension,P3a,causal_previous_period_oracle,14376,14364,0.00252298053646627,-0.000223539285779492,0.0165775347954765,0.00816850671362106,0.018480778171541,0.268790129771214,0.0917661431034346,0.269943850411366,119,5,100,0.00696184906711222,0.00327206906154275,1,0.965051517683097,0.961361737677527,0.0128989537159097,0.022724500047401,NaN,0.015164162493044,0.0144685587089594,0.0582220367278798
range,reasonable_extension,P3b,offline_physical_parameter_oracle,14376,14376,0.00163261415926877,9.32196432943257e-05,0.0167539058329068,0.0104755222394633,0.0197592997559984,0.19168779046709,0.0888965852280748,0.193922473833808,111,6,97,0.00674735670562048,0.00813856427378965,1,0.959933222036728,0.961324429604897,0.017836822706905,0.0215050385679418,NaN,0.0153728436282693,0.0144685587089594,0.0596828046744574
range,reasonable_extension,P3c,noncausal_future_endpoint_oracle,14376,14376,0.000838455569470227,-7.31634127175609e-05,0.0063334343505622,0.00347968470851911,0.00722638196773343,0.0925888265851282,0.031296285251917,0.0933398900547449,84,4,69,0.00479966611018364,0.00243461324429605,1,0.963689482470785,0.961324429604897,0.00572331413171924,0.00846285927634299,NaN,0.0162075681691708,0.014259877573734,0.0606566499721758
range,reasonable_extension,P4,offline_physical_parameter_oracle,14376,14376,0.000792094781467502,0.000154681396042651,0.00629847559528042,0.00351411648683215,0.00721247596234252,0.0920978434860289,0.0313737444097466,0.0928817907916543,84,4,69,0.00479966611018364,0.00243461324429605,1,0.963689482470785,0.961324429604897,0.00571682077493702,0.00844352533066236,NaN,0.0162075681691708,0.014259877573734,0.0606566499721758
range,reasonable_extension,P5,offline_plant_replay_oracle,14376,14376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961324429604897,0.961324429604897,0,0,NaN,0.01669449081803,0.0144685587089594,0.0607262103505843
range,stress_test,P0,causal_original,454,454,0.0147141374256264,0.000390975566754327,0.0695836451774409,0.016179017507865,0.0714397948184329,0.342824148959135,0.0411467980000215,0.343008979508085,21,0,21,0.0462555066079295,0,1,0.997797356828194,0.951541850220264,NaN,0.0714397948184329,0.0789785470129426,0,0,0.0198237885462555
range,stress_test,P1,causal_original,454,454,0.0147141374256264,0.000390975566754327,0.0695836451774409,0.016179017507865,0.0714397948184329,0.342824148959135,0.0411467980000215,0.343008979508085,21,0,21,0.0462555066079295,0,1,0.997797356828194,0.951541850220264,NaN,0.0714397948184329,0.0789785470129426,0,0,0.0198237885462555
range,stress_test,P2a,causal_previous_period_oracle,454,452,0.00673211751334985,0.000121615342082558,0.0340422532277902,0.0120056347876717,0.0360972335710085,0.166675358284371,0.0347627603624456,0.167518425766855,19,0,19,0.0420353982300885,0,1,0.993362831858407,0.951327433628319,NaN,0.0360972335710085,0.113212497772575,0.00440528634361234,0.00220264317180617,0.0198237885462555
range,stress_test,P2b,offline_physical_parameter_oracle,454,454,0.00455247330227377,0.000702853986198883,0.0281888663104042,0.0124841246278387,0.0308296213338609,0.181810713263062,0.0357677474149003,0.185295621136495,10,0,10,0.0220264317180617,0,1,0.973568281938326,0.951541850220264,NaN,0.0308296213338609,0.108242062359958,0.00440528634361234,0.00220264317180617,0.0198237885462555
range,stress_test,P2c,noncausal_future_endpoint_oracle,454,454,0.00244837715292774,1.77713250117082e-05,0.0130574417638819,0.00497853571054199,0.0139743551993754,0.0933492054385902,0.0173050326247286,0.0949396561514683,10,0,10,0.0220264317180617,0,1,0.973568281938326,0.951541850220264,NaN,0.0139743551993754,0.0586207588942896,0.00440528634361234,0.00220264317180617,0.0198237885462555
range,stress_test,P3a,causal_previous_period_oracle,454,452,0.00673211751334985,0.000121615342082558,0.0340422532277902,0.0120056347876717,0.0360972335710085,0.166675358284371,0.0347627603624456,0.167518425766855,19,0,19,0.0420353982300885,0,1,0.993362831858407,0.951327433628319,NaN,0.0360972335710085,0.113212497772575,0.00440528634361234,0.00220264317180617,0.0198237885462555
range,stress_test,P3b,offline_physical_parameter_oracle,454,454,0.00455247330227377,0.000702853986198883,0.0281888663104042,0.0124841246278387,0.0308296213338609,0.181810713263062,0.0357677474149003,0.185295621136495,10,0,10,0.0220264317180617,0,1,0.973568281938326,0.951541850220264,NaN,0.0308296213338609,0.108242062359958,0.00440528634361234,0.00220264317180617,0.0198237885462555
range,stress_test,P3c,noncausal_future_endpoint_oracle,454,454,0.00244837715292774,1.77713250117082e-05,0.0130574417638819,0.00497853571054199,0.0139743551993754,0.0933492054385902,0.0173050326247286,0.0949396561514683,10,0,10,0.0220264317180617,0,1,0.973568281938326,0.951541850220264,NaN,0.0139743551993754,0.0586207588942896,0.00440528634361234,0.00220264317180617,0.0198237885462555
range,stress_test,P4,offline_physical_parameter_oracle,454,454,0.00235856911096807,0.000622641004032737,0.0130157292941149,0.0050946455987994,0.0139772895382133,0.092756268720603,0.0169855040814526,0.0942986359173332,10,0,10,0.0220264317180617,0,1,0.973568281938326,0.951541850220264,NaN,0.0139772895382133,0.0584588393544592,0.00440528634361234,0.00220264317180617,0.0198237885462555
range,stress_test,P5,offline_plant_replay_oracle,454,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951541850220264,0.951541850220264,NaN,0,0,0.00440528634361234,0.00220264317180617,0.0198237885462555
category,boundary,P0,causal_original,454,454,0.0147141374256264,0.000390975566754327,0.0695836451774409,0.016179017507865,0.0714397948184329,0.342824148959135,0.0411467980000215,0.343008979508085,21,0,21,0.0462555066079295,0,1,0.997797356828194,0.951541850220264,NaN,0.0714397948184329,0.0789785470129426,0,0,0.0198237885462555
category,boundary,P1,causal_original,454,454,0.0147141374256264,0.000390975566754327,0.0695836451774409,0.016179017507865,0.0714397948184329,0.342824148959135,0.0411467980000215,0.343008979508085,21,0,21,0.0462555066079295,0,1,0.997797356828194,0.951541850220264,NaN,0.0714397948184329,0.0789785470129426,0,0,0.0198237885462555
category,boundary,P2a,causal_previous_period_oracle,454,452,0.00673211751334985,0.000121615342082558,0.0340422532277902,0.0120056347876717,0.0360972335710085,0.166675358284371,0.0347627603624456,0.167518425766855,19,0,19,0.0420353982300885,0,1,0.993362831858407,0.951327433628319,NaN,0.0360972335710085,0.113212497772575,0.00440528634361234,0.00220264317180617,0.0198237885462555
