cohort_type,cohort,predictor,causality_class,sample_count,true_violation_predicted_violation,true_safe_predicted_safe,false_safe_count,false_alarm_count,false_safe_rate,false_alarm_rate,violation_recall,safe_specificity,maximum_consecutive_false_safe
case,C04_high_200rpm_18A,P1,causal_original,1198,0,1184,14,0,0.011686143572621,0,0,1,1
case,C04_high_200rpm_18A,P2a,causal_previous_period_oracle,1197,4,1174,10,9,0.00835421888053467,0.0075187969924812,0.285714285714286,0.992392223161454,1
case,C04_high_200rpm_18A,P2b,offline_physical_parameter_oracle,1198,13,1170,1,14,0.000834724540901503,0.011686143572621,0.928571428571429,0.988175675675676,1
case,C04_high_200rpm_18A,P2c,noncausal_future_endpoint_oracle,1198,8,1175,6,9,0.00500834724540901,0.00751252086811352,0.571428571428571,0.992398648648649,1
case,C04_high_200rpm_18A,P3a,causal_previous_period_oracle,1197,4,1174,10,9,0.00835421888053467,0.0075187969924812,0.285714285714286,0.992392223161454,1
case,C04_high_200rpm_18A,P3b,offline_physical_parameter_oracle,1198,13,1170,1,14,0.000834724540901503,0.011686143572621,0.928571428571429,0.988175675675676,1
case,C04_high_200rpm_18A,P3c,noncausal_future_endpoint_oracle,1198,8,1175,6,9,0.00500834724540901,0.00751252086811352,0.571428571428571,0.992398648648649,1
case,C04_high_200rpm_18A,P4,offline_physical_parameter_oracle,1198,8,1175,6,9,0.00500834724540901,0.00751252086811352,0.571428571428571,0.992398648648649,1
case,C04_high_200rpm_18A,P5,offline_plant_replay_oracle,1198,14,1184,0,0,0,0,1,1,0
case,C05_negative_id,P0,causal_original,1198,0,1185,13,0,0.0108514190317195,0,0,1,2
case,C05_negative_id,P1,causal_original,1198,0,1185,13,0,0.0108514190317195,0,0,1,2
case,C05_negative_id,P2a,causal_previous_period_oracle,1197,7,1180,6,4,0.0050125313283208,0.00334168755221387,0.538461538461538,0.996621621621622,1
case,C05_negative_id,P2b,offline_physical_parameter_oracle,1198,8,1162,5,23,0.00417362270450751,0.0191986644407346,0.615384615384615,0.980590717299578,1
