cohort_type,cohort,registered_sample_count,common_sample_count,MSE_P0_A2,MSE_P1_A2,MSE_P2a_A2,MSE_P2b_A2,MSE_P2c_A2,MSE_P3a_A2,MSE_P3b_A2,MSE_P3c_A2,MSE_P4_A2,MSE_P5_A2,Delta_F_causal_A2,Delta_F_instant_A2,Delta_alpha_A2,Delta_joint_causal_A2,Delta_joint_instant_A2,Delta_F_alpha_interaction_excess_A2,factorial_interaction_MSE_A2,Delta_two_period_F_freezing_A2,Delta_discretization_structure_A2,Delta_structure_total_A2,Delta_remaining_oracle_gap_A2,F_shapley_contribution_A2,alpha_shapley_contribution_A2,F_share_of_explained,alpha_share_of_explained,structure_share_of_explained,material_F,material_alpha,material_structure,P0_false_safe_full_mask_rate,P0_false_safe_common_intersection_rate
case,D01_iq_step,451,450,0.00102973904224159,0.00102973904224159,0.000291842228365686,0.000347527797332519,5.17645434877338e-05,0.000291842228365686,0.000347527797332519,5.17645434877338e-05,5.15052933116653e-05,0,0.0007378968138759,0.000682211244909067,0,0.0007378968138759,0.000682211244909067,0,0,0.000296022504020854,5.15052933116653e-05,0.000347527797332519,0,0.000682211244909067,0,0.662508865764666,0,0.337491134235334,1,0,1,0.0332594235033259,0.0333333333333333
case,D02_id_step,1198,1197,0.000219994498658567,0.000219994498658567,0.000149122191903373,0.000371265755580862,3.26068754958683e-05,0.000149122191903373,0.000371265755580862,3.26068754958683e-05,3.24654732759707e-05,0,7.08723067551939e-05,-0.000151271256922295,0,7.08723067551939e-05,-0.000151271256922295,0,0,0.000338800282304891,3.24654732759707e-05,0.000371265755580862,0,-0.000151271256922295,0,-0.687613816912167,0,1.68761381691217,0,0,1,0.0175292153589316,0.0175438596491228
case,D03_id_iq_step,1198,1197,0.00160506136148412,0.00160506136148412,0.000469863638055114,0.000460559810126996,6.92825856152678e-05,0.000469863638055114,0.000460559810126996,6.92825856152678e-05,6.89678612716251e-05,0,0.001135197723429,0.00114450155135712,0,0.001135197723429,0.00114450155135712,1.0842021724855e-19,-1.0842021724855e-19,0.000391591948855371,6.89678612716251e-05,0.000460559810126996,0,0.00114450155135712,0,0.713057817489831,0,0.286942182510169,1,0,1,0.0267111853088481,0.0267335004177109
case,D04_torque_ramp,1198,1197,0.00082654048027891,0.00082654048027891,0.000286963440546299,0.000366658903987272,4.83754827371183e-05,0.000286963440546299,0.000366658903987272,4.83754827371183e-05,4.8256361245631e-05,0,0.000539577039732612,0.000459881576291638,0,0.000539577039732612,0.000459881576291638,-5.42101086242752e-20,0,0.000318402542741641,4.8256361245631e-05,0.000366658903987272,0,0.000459881576291638,0,0.556393288972918,0,0.443606711027082,1,0,1,0.0392320534223706,0.0392648287385129
case,D05_torque_step,457,456,0.00526248873811546,0.00526248873811546,0.00137542192859716,0.000915418462660692,0.000183417572414747,0.00137542192859716,0.000915418462660692,0.000183417572414747,0.000181373059673819,0,0.0038870668095183,0.00434707027545477,0,0.0038870668095183,0.00434707027545477,-2.16840434497101e-19,2.16840434497101e-19,0.000734045402986872,0.000181373059673819,0.000915418462660692,0,0.00434707027545477,0,0.826048375927069,0,0.173951624072931,1,0,0,0.0656455142231947,0.0657894736842105
case,P01_Ld_minus10,1198,1197,0.00134563917146395,0.0514954648531218,0.00350421186335869,0.0497492789402881,0.00195118212209167,0.000273535213421124,0.000322600331755209,4.08386892722228e-05,4.05834864971073e-05,0,-0.00215857269189474,-0.0484036397688241,-0.0501498256816579,0.00107210395804282,0.00102303883970874,0.0995765042901907,-0.0995765042901907,0.000282016845258102,4.05834864971073e-05,0.000322600331755209,0,0.00138461237627126,-0.000361573536562521,1.02896259683412,-0.268700216395423,0.239737619561302,0,0,1,0.0542570951585977,0.0543024227234754
case,P02_Ld_plus10,1198,1197,0.00119142950330947,0.0327705779455178,0.00293363679088251,0.0335220365439024,0.0018809800087875,0.00021957387117405,0.000298100329309942,3.38851368674491e-05,3.36875499762669e-05,0,-0.00174220728757304,-0.0323306070405929,-0.0315791484422083,0.000971855632135416,0.000893329173999525,0.0648030846568008,-0.0648030846568008,0.000264412779333675,3.36875499762669e-05,0.000298100329309942,0,7.09352878074353e-05,0.000822393886192086,0.0595379647812954,0.690258117587066,0.250203917631635,0,0,1,0.00918196994991653,0.00918964076858814
case,P03_Lq_minus10,1198,1197,0.0012288091227855,0.0508803008363376,0.00419608909354312,0.0499722201870595,0.00239796360602384,0.000237302702335337,0.000322875708253133,3.88046275610885e-05,3.85217994530138e-05,0,-0.00296727997075761,-0.048743411064274,-0.0496514917135521,0.000991506420450168,0.000905933414532371,0.0993008361923584,-0.0993008361923584,0.000284353908800119,3.85217994530138e-05,0.000322875708253133,0,0.000907007031905254,-1.07361737288272e-06,0.738118732264309,-0.000873705568240748,0.262754973303932,0,0,1,0.0676126878130217,0.0676691729323308
case,P04_Lq_plus10,1198,1197,0.00144623809956213,0.0341034995166655,0.00294380927887226,0.0341300482832299,0.0018801547106552,0.000271896506068066,0.00031606867242187,3.85850195345356e-05,3.83395909237933e-05,0,-0.00149757117931014,-0.0326838101836677,-0.0326572614171034,0.00117434159349406,0.00113016942714026,0.0664712410279114,-0.0664712410279114,0.000277729081498077,3.83395909237933e-05,0.00031606867242187,0,0.000551810330287963,0.000578359096852291,0.381548743913629,0.399905864067196,0.218545392019174,0,0,1,0.0267111853088481,0.0267335004177109
case,P05_cross_mismatch,1198,1197,0.00304285644224587,0.166302590665182,0.00542754938775286,0.162667609049146,0.00245551549817357,0.000629517312626742,0.000564088092898992,8.9422274868456e-05,8.9087375634727e-05,0,-0.002384692945507,-0.1596247526069,-0.163259734222936,0.00241333912961913,0.00247876834934688,0.325363255179183,-0.325363255179183,0.000475000717264265,8.9087375634727e-05,0.000564088092898992,0,0.00305687498269155,-0.000578106633344677,1.00460703313211,-0.189988139209745,0.185381106077634,0,0,0,0.0626043405676127,0.06265664160401
case,P06_controller_high_L,1198,1197,0.0070629857673535,0.702731447660227,0.0242270246909131,0.699216883731448,0.0113179087980257,0.000556170752438573,0.000521681310961191,8.19721683345831e-05,8.17402934011814e-05,0,-0.0171640389235596,-0.692153897964094,-0.695668461892873,0.00650681501491493,0.00654130445639231,1.39436366431336,-1.39436366431336,0.00043994101756001,8.17402934011814e-05,0.000521681310961191,0,0.00502793419258563,0.00151337026380671,0.711870922326605,0.214267777630504,0.0738613000428946,0,0,0,0.0759599332220367,0.075187969924812
case,P07_controller_low_L,1198,1197,0.00534015250064078,0.467480222498097,0.0130990024165627,0.47335973732584,0.00673608122872354,0.000454517728440489,0.000385275830185642,6.31533337373842e-05,6.29544765252014e-05,0,-0.00775884991592194,-0.468019584825199,-0.462140069997456,0.0048856347722003,0.00495487667045514,0.93511453149311,-0.93511453149311,0.000322321353660441,6.29544765252014e-05,0.000385275830185642,0,-0.000462319078644025,0.00541719574909916,-0.0865741340885956,1.01442716260428,0.0721469714843184,0,0,0,0.01669449081803,0.0167084377610693
case,P08_opposed_20pct,1198,1197,0.00634454735272714,0.455352672248324,0.0217041068335278,0.458320524742755,0.011729423630208,0.000411738432838018,0.000445571541910038,6.33589827864955e-05,6.33876999636069e-05,0,-0.0153595594808007,-0.451975977390028,-0.449008124895597,0.00593280891988912,0.0058989758108171,0.906883078096442,-0.906883078096442,0.000382183841946431,6.33876999636069e-05,0.000445571541910038,0,0.00146556165819273,0.00443341415262438,0.230995463776115,0.698775484860827,0.0702290513630596,0,0,0,0.0734557595993322,0.0735171261487051
case,B01_500rpm_20A_48V_fast,3,2,0.00924073812481117,0.00924073812481117,0.0128170696519053,0.0174588378883032,0.00503155281332785,0.0128170696519053,0.0174588378883032,0.00503155281332785,0.00499873991803685,0,-0.00357633152709408,-0.00821809976349205,0,-0.00357633152709408,-0.00821809976349205,0,0,0.0124600979702664,0.00499873991803685,0.0174588378883032,0,-0.00821809976349205,0,-0.889333693098243,0,1.88933369309824,0,0,1,0,0
case,B02_500rpm_negid_48V,451,450,0.00510691181271038,0.00510691181271038,0.00125183667423361,0.000880291048476677,0.00017356232723732,0.00125183667423361,0.000880291048476677,0.00017356232723732,0.000173752007135916,0,0.00385507513847678,0.00422662076423371,0,0.00385507513847678,0.00422662076423371,-1.0842021724855e-19,1.0842021724855e-19,0.00070653904134076,0.000173752007135916,0.000880291048476677,0,0.00422662076423371,0,0.827627521139927,0,0.172372478860073,1,0,0,0.0465631929046563,0.0466666666666667
